sleep_hours,parental_education_level,parental_education_binary,exam_score
7.1,High School,low,96
7,Master,high,100
8.8,Bachelor,high,96
9.2,High School,low,73
6.1,Master,high,100
6.7,Bachelor,high,90
6.5,High School,low,100
7.3,High School,low,98
6.6,Bachelor,high,97
9.2,High School,low,98
5.1,High School,low,82
7.7,Master,high,85
7.4,High School,low,63
4,High School,low,91
6.7,Bachelor,high,91
6.7,Bachelor,high,88
7.5,Master,high,92
7.1,Master,high,90
8.1,High School,low,79
8.5,High School,low,100
7.8,Bachelor,high,91
4,Master,high,99
8,Bachelor,high,96
7.1,Master,high,100
8,High School,low,92
7.3,Bachelor,high,100
5,Bachelor,high,83
6.8,Master,high,99
4.6,High School,low,80
8.2,High School,low,100
8.5,Bachelor,high,93
5.5,Master,high,96
5.6,Master,high,94
9.4,High School,low,80
8.8,High School,low,95
6.2,Bachelor,high,95
7.1,High School,low,97
7.7,Master,high,81
7.7,High School,low,74
10.4,Bachelor,high,91
7.3,Bachelor,high,95
5.4,High School,low,100
10.4,High School,low,79
4.9,Bachelor,high,82
5.2,Master,high,85
7.7,High School,low,95
5.5,Master,high,100
9.5,Bachelor,high,100
7.1,Master,high,93
6.6,Bachelor,high,74
8.6,High School,low,98
7.6,Master,high,76
5.1,Master,high,95
6.9,Master,high,82
7,Master,high,83
5.7,High School,low,99
6.8,Master,high,92
6.8,High School,low,100
6.9,Bachelor,high,71
9,Master,high,84
6.6,Bachelor,high,100
7.1,Bachelor,high,90
8.7,Bachelor,high,82
4.8,Master,high,87
5.7,Bachelor,high,97
6.7,Bachelor,high,98
7.5,High School,low,92
6.7,Bachelor,high,93
9.6,Master,high,100
9,Bachelor,high,87
5.4,Bachelor,high,76
4.8,Master,high,93
5,Master,high,93
6.9,Bachelor,high,93
5.1,Master,high,95
5.6,High School,low,74
6.7,Bachelor,high,82
7.1,Master,high,94
9.5,Bachelor,high,67
9.3,Bachelor,high,85
4.4,Bachelor,high,69
4,High School,low,100
7.1,Bachelor,high,67
5.4,High School,low,83
6.8,Master,high,84
5.5,Bachelor,high,86
6.7,Master,high,63
9.5,Bachelor,high,90
6.6,Master,high,99
8.9,Bachelor,high,74
8.4,High School,low,100
5,High School,low,96
6.6,Master,high,63
5.8,High School,low,91
8.6,High School,low,98
6.3,High School,low,91
6.2,High School,low,77
6.2,Bachelor,high,82
4.9,Bachelor,high,54
5.5,Bachelor,high,93
7.6,High School,low,73
5.7,High School,low,79
6.3,Bachelor,high,79
6.1,High School,low,68
8,Master,high,76
8.4,High School,low,100
4.9,High School,low,89
7.4,Master,high,98
8.3,Master,high,100
6.6,Bachelor,high,84
7.7,High School,low,98
7.3,High School,low,80
7.5,Bachelor,high,85
6,Bachelor,high,95
6.3,Master,high,66
7.1,High School,low,100
5.2,Master,high,80
5.3,Master,high,94
7.1,Master,high,85
7.3,Bachelor,high,96
7.3,Master,high,82
6.4,High School,low,80
9,High School,low,90
8.5,High School,low,100
6.2,High School,low,97
8.9,Master,high,99
6.2,Master,high,69
8,Bachelor,high,90
8.7,Bachelor,high,56
5.6,Bachelor,high,99
6.9,Bachelor,high,100
7.7,High School,low,79
6.3,Bachelor,high,92
5.9,Master,high,98
6.6,Master,high,100
4.3,Master,high,97
9.1,Bachelor,high,100
8.7,High School,low,100
6.1,Bachelor,high,96
6,Bachelor,high,87
5.3,High School,low,100
7.9,Bachelor,high,96
4,Bachelor,high,74
5.4,High School,low,100
8.5,Bachelor,high,100
6.2,Bachelor,high,96
4.2,Bachelor,high,93
6.6,Master,high,79
6,Bachelor,high,97
9.2,Bachelor,high,97
6.5,High School,low,99
9.1,Master,high,98
6,Bachelor,high,93
6.8,Bachelor,high,98
8.3,High School,low,100
5.1,Master,high,76
5.6,Bachelor,high,75
6.3,Master,high,94
8.5,Bachelor,high,100
9.3,Bachelor,high,91
6.8,High School,low,94
8.4,High School,low,96
6.3,Bachelor,high,88
6.7,High School,low,78
9,High School,low,88
6.4,Bachelor,high,100
7.3,Bachelor,high,88
7.5,Master,high,100
6.6,Master,high,89
7.5,Bachelor,high,61
5.8,High School,low,100
7.3,High School,low,100
6.1,Bachelor,high,72
4.9,High School,low,58
8.1,Bachelor,high,91
6.5,High School,low,94
7.2,Master,high,93
4.5,Master,high,100
6.7,High School,low,100
5.2,High School,low,100
7.8,High School,low,100
5.9,Master,high,78
5.5,High School,low,80
6,High School,low,100
9.7,Master,high,100
4.5,Master,high,100
4.9,High School,low,86
7.6,High School,low,100
7.9,Bachelor,high,100
6.5,Bachelor,high,100
6.6,High School,low,77
8.7,Master,high,99
8.1,Bachelor,high,90
7.5,Bachelor,high,98
8.1,Bachelor,high,100
5.5,High School,low,94
6.5,Master,high,87
4,Master,high,88
8.4,High School,low,100
6.7,High School,low,100
4.9,High School,low,100
8,Bachelor,high,95
5.7,Bachelor,high,92
7.3,Master,high,76
6.2,Bachelor,high,100
7.4,Master,high,85
5.1,Bachelor,high,99
8.1,Bachelor,high,100
6.5,Master,high,100
8.1,Bachelor,high,100
8.2,High School,low,96
6.3,Master,high,87
8.5,Bachelor,high,93
4,High School,low,100
6.6,Bachelor,high,97
6.4,High School,low,76
5.9,Master,high,100
6.5,High School,low,74
5.7,Bachelor,high,85
8.7,High School,low,96
5.6,Master,high,97
5.4,Master,high,98
5.3,High School,low,85
5.1,High School,low,85
5.6,Master,high,100
5.5,High School,low,76
8.5,Bachelor,high,69
8.5,Master,high,100
6.3,Bachelor,high,86
6.7,Bachelor,high,100
7.1,High School,low,96
5.3,High School,low,100
8.5,Master,high,100
5.7,Bachelor,high,64
8.7,High School,low,100
5.4,Bachelor,high,99
6.7,High School,low,100
5.4,Bachelor,high,100
5.6,Bachelor,high,95
9,High School,low,100
9,High School,low,74
6.8,Bachelor,high,94
7.4,Bachelor,high,94
6.3,High School,low,71
7.3,Master,high,83
8.4,High School,low,100
7,High School,low,98
8.5,Bachelor,high,96
4,High School,low,73
5.2,Master,high,91
7.9,High School,low,87
7.2,Master,high,95
6.8,Master,high,73
5.9,High School,low,91
7.1,Master,high,100
6.9,High School,low,100
7.4,High School,low,68
6.6,High School,low,95
8.2,Bachelor,high,93
6.4,High School,low,82
5.7,Master,high,84
5.9,Master,high,88
4.4,High School,low,97
8.5,Master,high,96
7.4,Bachelor,high,93
4.9,High School,low,87
7.3,Master,high,54
5.8,Master,high,78
6.9,High School,low,98
7,High School,low,100
6.9,Master,high,88
5.6,High School,low,76
5.9,High School,low,84
7.7,Master,high,100
9.4,Bachelor,high,100
7.4,Master,high,86
6.7,Bachelor,high,89
8.2,High School,low,100
8.3,High School,low,75
6.6,Master,high,84
7.8,Bachelor,high,99
6.6,Master,high,88
7.3,Bachelor,high,100
7.1,Master,high,95
6.8,High School,low,100
10.1,Bachelor,high,94
7.4,High School,low,65
8.8,Bachelor,high,100
7.8,High School,low,95
5.9,High School,low,92
5.3,High School,low,96
8.2,Bachelor,high,73
8.2,Bachelor,high,91
5.1,Master,high,100
7.6,Master,high,63
9.1,Master,high,98
5.4,Master,high,96
7,Bachelor,high,96
7.2,High School,low,96
9.3,Master,high,100
8.7,Bachelor,high,70
6.9,Master,high,98
6,Master,high,100
6.5,Bachelor,high,88
4.1,Bachelor,high,100
6.8,Bachelor,high,100
7,High School,low,96
7.5,Master,high,100
6.8,Bachelor,high,88
5.2,High School,low,98
5.9,High School,low,100
5.1,Bachelor,high,59
7.7,Master,high,82
7.6,High School,low,100
7.5,Bachelor,high,100
7.3,Bachelor,high,88
6.9,High School,low,73
7.4,High School,low,99
6.9,High School,low,100
7.3,Master,high,77
6.4,High School,low,92
8,Master,high,97
4,Bachelor,high,79
7.8,High School,low,68
7.3,Master,high,100
7,Master,high,69
6.2,Master,high,74
6.6,Master,high,83
7.7,Master,high,93
6.3,Master,high,96
7.4,Bachelor,high,100
6.7,High School,low,94
6.2,Master,high,82
5.3,Master,high,93
6,High School,low,95
6.4,Bachelor,high,100
4,High School,low,96
6.6,Master,high,91
7.3,High School,low,87
7.8,Bachelor,high,61
4,Bachelor,high,75
8.6,Bachelor,high,86
6,High School,low,88
7.2,Bachelor,high,100
7.4,Master,high,83
8.1,High School,low,100
6.6,High School,low,100
8.9,High School,low,96
6.7,Master,high,97
6.3,Bachelor,high,99
10.2,Bachelor,high,100
8.1,Bachelor,high,100
4.7,Master,high,71
7.6,High School,low,100
6.3,Bachelor,high,66
6.9,High School,low,100
7.8,Bachelor,high,100
8.5,High School,low,96
5.9,High School,low,96
8.2,Bachelor,high,92
6.5,Bachelor,high,100
7.4,High School,low,59
6.6,Master,high,93
6.3,High School,low,66
6.3,Bachelor,high,86
6.8,Master,high,100
6.1,High School,low,95
7,Master,high,90
8.7,High School,low,100
9.7,Bachelor,high,92
6.9,Master,high,87
4.8,Master,high,67
9.3,High School,low,99
8.9,Bachelor,high,95
9.3,High School,low,90
5.3,Bachelor,high,91
7.3,Bachelor,high,100
8.7,High School,low,95
4.9,Master,high,100
6,Master,high,100
7.2,High School,low,91
5.2,Bachelor,high,92
6.5,Master,high,100
5.8,Bachelor,high,92
9,Master,high,59
7.7,Master,high,91
8.1,Bachelor,high,100
5.4,High School,low,84
7.6,Master,high,62
8.2,Master,high,100
7.3,Master,high,91
8.1,Bachelor,high,93
6.1,High School,low,91
6.2,Master,high,100
4.2,Bachelor,high,79
9.4,Bachelor,high,91
6.8,Bachelor,high,75
10.1,Bachelor,high,92
6.6,Bachelor,high,100
7.5,High School,low,90
8.4,Bachelor,high,73
6,High School,low,89
8,Bachelor,high,100
4.6,Bachelor,high,76
7.4,High School,low,94
4.5,Bachelor,high,59
9.2,High School,low,91
6.8,Bachelor,high,99
6.6,Master,high,97
7.1,High School,low,100
6.3,Master,high,72
8.7,Master,high,97
9.7,Bachelor,high,83
5,High School,low,95
7.8,Bachelor,high,96
5.4,Master,high,100
6.6,Bachelor,high,100
8.9,Bachelor,high,83
7.9,Master,high,96
7.4,High School,low,92
6.7,Master,high,91
10.8,High School,low,95
6.2,Master,high,99
7.7,Bachelor,high,100
4,High School,low,85
6.9,Bachelor,high,99
7.5,High School,low,83
7.6,Master,high,100
7.7,Master,high,95
6.1,Master,high,94
8.5,Master,high,99
8.2,High School,low,95
7.8,Bachelor,high,97
6.5,High School,low,78
10.2,Master,high,100
6.3,Bachelor,high,94
5.2,Master,high,99
9.2,Master,high,100
7.4,Bachelor,high,94
7.4,Bachelor,high,89
5.1,High School,low,94
7.7,Master,high,80
7.5,Master,high,98
5.3,Bachelor,high,68
8.2,High School,low,99
7.3,High School,low,96
6.4,Master,high,100
7.3,Master,high,77
9.6,Master,high,60
6.7,Master,high,95
9.4,High School,low,89
8.1,High School,low,97
5,High School,low,64
7.4,Master,high,81
8.4,High School,low,96
7.7,High School,low,100
6.4,Bachelor,high,82
4.6,Master,high,88
5.7,High School,low,90
9.3,Bachelor,high,97
6.7,High School,low,79
7.2,High School,low,98
6.9,High School,low,100
5.1,Bachelor,high,99
6.2,Master,high,88
5.9,Master,high,95
7.2,High School,low,83
7.2,High School,low,100
8.9,Master,high,100
4.8,Bachelor,high,74
7.7,Bachelor,high,99
7.6,Bachelor,high,100
6.3,High School,low,88
4.9,High School,low,93
8.2,Master,high,100
8.5,Bachelor,high,96
9.1,Bachelor,high,94
9,Master,high,85
4.4,Master,high,72
6.2,Master,high,80
5.7,Master,high,90
5.1,High School,low,100
9.1,High School,low,89
7.3,Bachelor,high,100
5.6,Bachelor,high,99
8.2,Bachelor,high,100
6.1,Bachelor,high,98
6.7,High School,low,84
9.8,Bachelor,high,98
5.6,Master,high,75
7.8,High School,low,95
8.1,Master,high,73
5.3,Master,high,86
5.1,High School,low,90
6.7,Bachelor,high,72
5.4,High School,low,100
7.9,Master,high,89
5.6,High School,low,97
7.9,High School,low,97
5.6,Master,high,100
4.2,High School,low,83
7.4,High School,low,95
6,Master,high,100
7,Master,high,100
9.8,Bachelor,high,88
8.7,High School,low,100
7.7,Master,high,75
6.4,Bachelor,high,97
8.4,High School,low,75
8.5,Master,high,100
7.8,Master,high,85
6.4,Bachelor,high,92
4,Master,high,99
6.8,High School,low,100
9.2,High School,low,95
5.4,High School,low,94
6.7,Bachelor,high,70
7.6,Master,high,100
4.8,Master,high,59
6.3,High School,low,100
7,Bachelor,high,94
8.6,Bachelor,high,93
8.4,High School,low,98
4,High School,low,72
6.1,High School,low,100
6.4,Master,high,100
6.6,Master,high,95
6.3,Bachelor,high,78
5.8,High School,low,86
7.7,High School,low,98
8.1,High School,low,99
5.8,Master,high,53
6.1,High School,low,88
6.4,High School,low,98
7.6,Bachelor,high,100
6,Bachelor,high,82
4.8,Master,high,82
8.9,Bachelor,high,100
8.4,High School,low,100
8.1,High School,low,93
6.5,Master,high,100
6.6,Master,high,82
7,Bachelor,high,64
8,Bachelor,high,99
5.3,High School,low,100
5.4,High School,low,89
6,High School,low,95
9.7,Master,high,86
6.5,Master,high,54
7,Bachelor,high,100
4.3,Master,high,85
8.1,Bachelor,high,94
9.8,Bachelor,high,80
7.5,Master,high,97
6.9,High School,low,83
5.7,Master,high,83
5.9,Bachelor,high,100
6.5,Master,high,68
8.5,Master,high,94
8,High School,low,91
8,Bachelor,high,82
6.4,High School,low,57
6.6,Bachelor,high,75
5.9,Master,high,76
7.2,Master,high,93
7.3,Bachelor,high,96
7.6,Master,high,47
7.8,Bachelor,high,96
9.3,Bachelor,high,84
6.3,Master,high,100
7,Bachelor,high,65
5.6,Master,high,100
6.5,Bachelor,high,96
6.5,High School,low,100
4,Bachelor,high,97
4.6,Bachelor,high,89
9.4,High School,low,94
8.7,High School,low,92
8,High School,low,98
4.8,Bachelor,high,93
6.1,Master,high,67
4,Master,high,72
8.9,High School,low,98
8,Bachelor,high,85
8.4,High School,low,78
6.5,Master,high,52
9.3,High School,low,100
7.4,Bachelor,high,100
7.5,Bachelor,high,92
5.1,High School,low,75
4.7,Master,high,87
7.1,High School,low,85
9,Bachelor,high,63
9,High School,low,77
6,High School,low,89
7.1,Bachelor,high,86
8.6,High School,low,100
7.3,Bachelor,high,59
6.1,High School,low,98
4.9,Master,high,83
8.2,High School,low,85
6.9,High School,low,88
6,Bachelor,high,85
5.5,High School,low,96
7.9,High School,low,77
7.4,High School,low,93
5.4,Bachelor,high,94
5.3,Master,high,61
7.4,High School,low,95
6.9,High School,low,100
6.8,Master,high,88
8,Bachelor,high,100
6.1,Master,high,81
7.3,Bachelor,high,95
9,Master,high,80
7.9,Bachelor,high,71
5.4,Master,high,78
5.6,High School,low,98
6.1,Bachelor,high,78
8.1,High School,low,100
5.8,Master,high,97
8,Master,high,79
7.3,Bachelor,high,92
6.2,High School,low,88
9.3,Bachelor,high,92
6,High School,low,100
7.4,Master,high,96
9.8,Bachelor,high,79
7.5,High School,low,75
7.5,Master,high,92
6.1,Bachelor,high,93
8.9,Bachelor,high,100
8.9,Bachelor,high,74
5.5,High School,low,100
7.2,Bachelor,high,97
5.8,High School,low,100
7.1,High School,low,78
7,Master,high,92
4.8,Bachelor,high,100
5.4,Master,high,93
6.4,Bachelor,high,94
5.3,Master,high,73
9,Master,high,90
6.9,Bachelor,high,95
6.5,Bachelor,high,88
7,High School,low,100
6.7,Bachelor,high,60
9,High School,low,100
9.2,Bachelor,high,90
6.3,Bachelor,high,100
7.7,Master,high,83
4,Master,high,80
5.6,Bachelor,high,99
5.2,Master,high,100
5.5,Master,high,96
7.6,Bachelor,high,100
7.8,High School,low,76
7.8,High School,low,83
7.1,Master,high,84
8,Bachelor,high,80
7.6,Master,high,90
9.9,Master,high,90
5.5,High School,low,100
6.8,Master,high,57
4.9,High School,low,95
8,Bachelor,high,98
4.8,Master,high,84
10,Master,high,100
7.8,Bachelor,high,91
10.3,Master,high,86
8.4,Bachelor,high,93
9.4,High School,low,74
8,Master,high,99
5.7,Master,high,75
7.7,High School,low,88
8.8,Bachelor,high,95
6.9,Master,high,100
7.8,High School,low,96
4,Master,high,84
9.5,Bachelor,high,100
7.2,High School,low,96
8.3,High School,low,83
8.8,Bachelor,high,97
7.1,High School,low,78
7.9,Bachelor,high,95
5.7,Bachelor,high,95
5.8,Bachelor,high,91
8.6,Master,high,96
7.5,Master,high,74
8.7,High School,low,81
7.2,Master,high,99
7,Bachelor,high,100
6.6,High School,low,100
6.9,Bachelor,high,72
5,High School,low,86
5.8,High School,low,67
6.2,Master,high,94
6.4,Master,high,77
6.9,Master,high,88
6,High School,low,81
7.8,Bachelor,high,79
8.1,High School,low,94
9.2,Bachelor,high,84
6.4,Master,high,82
7.6,Bachelor,high,100
6.3,High School,low,97
6.9,Bachelor,high,76
5.8,Master,high,98
8.6,Bachelor,high,97
5.8,Master,high,71
5.1,Bachelor,high,100
4.2,Bachelor,high,85
6.7,High School,low,79
4.2,Master,high,95
7.1,High School,low,74
6.2,Bachelor,high,94
7.5,Master,high,81
7.1,Bachelor,high,100
8.6,Master,high,94
9.2,Master,high,78
9.5,High School,low,57
7.5,Bachelor,high,68
6.4,Bachelor,high,56
6.4,High School,low,93
9.7,Bachelor,high,82
4.4,Master,high,94
8.4,Bachelor,high,65
4.9,Bachelor,high,65
4.3,High School,low,100
6.6,High School,low,96
4.9,High School,low,78
6.9,Master,high,94
10.7,Master,high,71
8.7,High School,low,95
7.9,Bachelor,high,81
10.8,High School,low,81
8.2,Master,high,93
7.1,High School,low,100
6.2,High School,low,62
5.8,Master,high,85
6.9,High School,low,100
5.6,Bachelor,high,100
6.3,Bachelor,high,87
7.2,Bachelor,high,91
5.3,Bachelor,high,76
5.7,Master,high,91
8.9,High School,low,100
8.4,Master,high,61
9.2,High School,low,100
8.3,Bachelor,high,92
5.4,High School,low,100
6.5,High School,low,100
5.3,Bachelor,high,90
5.5,Master,high,83
5.9,High School,low,82
6.2,High School,low,83
7,Master,high,78
7.9,High School,low,63
4,Master,high,75
8.5,Master,high,83
4,Master,high,88
4,Bachelor,high,94
6.5,High School,low,84
9.7,Bachelor,high,86
9.9,Master,high,100
4.8,Bachelor,high,100
7.6,Master,high,69
6.2,High School,low,59
5.1,Master,high,98
7.3,High School,low,72
6.3,Master,high,94
5.8,High School,low,93
8.3,High School,low,85
7.9,Bachelor,high,99
9,High School,low,78
5.6,Master,high,91
8.2,Master,high,100
5.9,High School,low,77
6.6,High School,low,77
7.9,Bachelor,high,94
5.8,Bachelor,high,100
8.8,High School,low,100
5.3,Bachelor,high,100
7.2,Master,high,73
9.3,Master,high,97
8.1,Master,high,75
7.6,Bachelor,high,93
5.8,Master,high,74
8.8,Bachelor,high,100
8.1,High School,low,84
7.6,Master,high,90
5.9,High School,low,71
7.4,Master,high,87
4,Bachelor,high,97
7.3,High School,low,69
8.8,Master,high,79
8.6,Bachelor,high,89
7.4,Bachelor,high,78
5.5,Master,high,97
7.7,Master,high,100
10.2,High School,low,77
5.1,Master,high,89
6.3,Master,high,99
8.9,Master,high,93
6.3,High School,low,100
5.9,Master,high,58
5.9,Bachelor,high,100
4.6,Master,high,97
9.2,High School,low,100
6,Master,high,99
7.9,Bachelor,high,63
8.9,High School,low,100
4,Master,high,73
6.8,Master,high,80
6.5,Master,high,100
7.7,Master,high,97
9.2,High School,low,100
4,Bachelor,high,97
11.5,Master,high,94
7.5,Bachelor,high,100
10.5,High School,low,100
7.2,Master,high,97
5.1,Master,high,75
7.9,Bachelor,high,96
7.1,Bachelor,high,100
4.9,High School,low,65
7.9,Bachelor,high,100
5.4,Bachelor,high,86
6.1,Bachelor,high,75
5.6,High School,low,72
5.9,High School,low,68
6.7,Bachelor,high,87
9.6,Master,high,81
10.9,High School,low,90
6.3,Master,high,94
8,Master,high,100
8.3,Master,high,91
7.2,Master,high,80
6.6,Bachelor,high,60
5.8,Bachelor,high,97
6.2,High School,low,100
6.9,High School,low,95
5.3,Master,high,100
4.3,High School,low,96
4,Master,high,89
6.5,Bachelor,high,98
7.1,Bachelor,high,72
7.7,Bachelor,high,100
10.5,Bachelor,high,100
9.8,Master,high,70
6.2,Bachelor,high,100
4.4,Bachelor,high,73
5.5,Master,high,96
8.3,Bachelor,high,86
8.9,Master,high,71
7,Bachelor,high,100
5.1,High School,low,77
8.5,Bachelor,high,83
6.8,Master,high,83
6.3,High School,low,90
5.3,High School,low,73
5.9,Master,high,70
6.1,Bachelor,high,75
8.7,High School,low,100
5.6,High School,low,96
7.4,High School,low,95
4.9,High School,low,96
7.7,Master,high,92
7.2,High School,low,98
4.9,High School,low,85
6.4,High School,low,100
8,High School,low,98
5.6,High School,low,100
7.9,Bachelor,high,66
6.4,Bachelor,high,100
8.8,Bachelor,high,100
6.8,Master,high,93
7,High School,low,78
7.4,High School,low,88
6.8,Bachelor,high,90
5.9,Master,high,87
11.1,High School,low,87
7.9,Bachelor,high,65
7.3,High School,low,100
6.4,Master,high,100
9,High School,low,100
4,High School,low,70
7.9,Bachelor,high,83
9.3,Master,high,100
8.4,High School,low,100
11.2,High School,low,95
8.8,Bachelor,high,93
8.5,Master,high,100
8.9,Bachelor,high,86
7,Master,high,75
7.1,High School,low,83
4,Master,high,100
7.9,Bachelor,high,100
7.6,High School,low,86
8.7,Master,high,100
6.2,Master,high,93
7.9,High School,low,98
10.1,Master,high,93
4.9,High School,low,74
7.9,Bachelor,high,100
5.8,Bachelor,high,100
7.7,Bachelor,high,71
8.5,High School,low,75
7.9,Bachelor,high,100
9.8,High School,low,98
5.9,Bachelor,high,75
4,Master,high,100
5.4,High School,low,92
7.4,Bachelor,high,79
5.8,Bachelor,high,99
8.2,Bachelor,high,76
8,Bachelor,high,87
7.9,Bachelor,high,93
7.4,Master,high,87
9.3,Bachelor,high,100
6.2,Bachelor,high,100
7.8,Master,high,78
7.5,Bachelor,high,92
7.2,High School,low,58
7.4,High School,low,100
8,High School,low,67
5.6,Bachelor,high,100
5.4,Master,high,100
4.7,Bachelor,high,96
4,High School,low,87
5.1,Master,high,60
6.7,High School,low,98
6.7,High School,low,59
4.6,High School,low,100
7.7,Master,high,100
7.8,Bachelor,high,100
8.1,Bachelor,high,96
9.4,High School,low,98
6.5,High School,low,84
6.8,High School,low,100
6.2,Master,high,89
8.2,High School,low,61
6.7,Bachelor,high,100
8.4,High School,low,82
7.4,High School,low,100
8.1,High School,low,92
7.8,Master,high,99
7,Master,high,77
7.1,Bachelor,high,99
4.9,Bachelor,high,98
5.5,High School,low,98
7.3,Master,high,98
4.8,High School,low,94
10.1,High School,low,99
8.4,Master,high,83
5.3,High School,low,82
8,Bachelor,high,87
7.5,Master,high,100
5.4,Master,high,97
9.2,High School,low,100
5.2,Master,high,85
6.4,Bachelor,high,71
9,High School,low,55
6.8,Bachelor,high,88
6,Bachelor,high,90
5.4,Bachelor,high,99
6.6,Master,high,90
5.6,Master,high,64
8,Bachelor,high,74
8.1,High School,low,100
7,Bachelor,high,93
4,High School,low,100
7.5,Bachelor,high,100
8.5,Master,high,100
4.6,Bachelor,high,96
8,Bachelor,high,74
6.8,Bachelor,high,79
6.8,Bachelor,high,100
5.2,Master,high,93
7.9,High School,low,94
7.1,Bachelor,high,75
7.6,High School,low,100
5.9,Master,high,100
5.6,High School,low,97
4.3,High School,low,100
4.1,Bachelor,high,100
6.3,Bachelor,high,96
5.3,Master,high,68
6.2,High School,low,100
7.1,High School,low,100
5.3,Master,high,95
6.3,Bachelor,high,88
6.5,High School,low,93
7.1,High School,low,94
5.7,Master,high,68
8.4,Bachelor,high,91
8,High School,low,94
6.6,Bachelor,high,100
6.6,Bachelor,high,99
7.4,High School,low,99
7.6,Bachelor,high,83
6.1,Master,high,93
7.1,High School,low,70
6.9,High School,low,100
8.2,Master,high,99
6.9,High School,low,100
7.4,Master,high,76
8.1,High School,low,100
6.8,Master,high,83
4.3,Bachelor,high,90
9,High School,low,99
4.9,Master,high,69
6.6,Master,high,100
5.7,High School,low,100
6.8,Master,high,100
7,Bachelor,high,88
5.6,High School,low,100
8.6,Master,high,92
10.6,High School,low,79
5.2,Bachelor,high,93
7.3,Bachelor,high,90
8.2,High School,low,97
6.9,High School,low,100
8.5,Bachelor,high,84
7,Bachelor,high,72
8.5,High School,low,71
7.1,Master,high,78
6.1,Master,high,88
6.4,High School,low,80
6.7,Bachelor,high,71
6.9,Bachelor,high,78
8.2,High School,low,97
6.9,High School,low,96
7.8,Master,high,89
7.8,Master,high,98
7.2,Master,high,98
7,High School,low,99
7.2,Bachelor,high,96
4,Bachelor,high,69
9.5,High School,low,83
7.6,High School,low,59
7.4,Bachelor,high,80
7.6,Master,high,82
4.5,Master,high,64
7.3,Master,high,69
7.1,High School,low,99
8.5,Master,high,100
7.3,Bachelor,high,97
7.6,Master,high,77
6.7,Master,high,96
6.3,High School,low,78
7,High School,low,98
5.9,Bachelor,high,98
7.4,Master,high,77
7.1,High School,low,71
6.6,Master,high,74
7.3,High School,low,99
8.7,Bachelor,high,97
8.4,Bachelor,high,100
4.4,Master,high,89
8.5,Master,high,91
4.8,High School,low,93
4.8,Bachelor,high,90
6.9,High School,low,100
5.6,High School,low,70
10.2,Bachelor,high,85
9.7,High School,low,100
8,Bachelor,high,99
7.3,Master,high,54
7.4,Bachelor,high,69
6,Bachelor,high,96
6.4,High School,low,77
6.9,High School,low,92
4,Bachelor,high,94
9.3,Master,high,64
6.6,High School,low,100
